,Fecha,Magnitud,Intensidad,GAP,Latitud,Longitud,Lugar,Id,Hipocentro,Region,Pais
10,2023-06-10 06:53:57.656,4.3,3.1,98.0,3.8178,-76.489,"3 km E of Restrepo, Colombia",",us7000k7li,",146.602,Valle del Cauca,CO
15,2023-05-28 15:45:57.185,5.2,4.2,39.0,6.6964,-73.0303,"1 km W of Aratoca, Colombia",",us7000k4mu,",163.809,Santander,CO
26,2023-05-22 17:14:14.864,4.5,3.1,64.0,4.3829,-76.2681,"10 km WNW of Bolívar, Colombia",",us6000kdxg,",120.179,Valle del Cauca,CO
31,2023-05-14 16:43:09.036,4.6,2.2,43.0,6.8463,-73.0895,northern Colombia,",us6000kbvy,",151.854,Santander,CO
32,2023-05-14 06:04:17.791,4.8,3.7,131.0,4.0397,-73.7077,"8 km NE of Acacías, Colombia",",us6000kbsg,",10.0,Meta,CO
35,2023-05-12 09:45:28.128,4.7,2.9,60.0,7.0383,-76.0563,"16 km W of Peque, Colombia",",us6000kbd5,",50.008,Antioquia,CO
57,2023-04-07 04:10:51.693,4.6,2.2,99.0,8.9572,-76.3312,"7 km NNE of Los Córdobas, Colombia",",us6000k2l9,",48.052,Cordoba,CO
63,2023-03-30 08:24:53.285,4.5,2.0,44.0,7.9236,-74.7887,"14 km N of San Carlos, Colombia",",us6000k0u3,",62.519,Antioquia,CO
67,2023-03-19 17:42:00.076,4.3,2.0,68.0,11.6448,-72.3136,"9 km SW of Uribia, Colombia",",us7000jlb3,",65.712,La Guajira,CO
74,2023-03-14 05:06:59.998,4.5,2.0,38.0,6.8028,-72.9977,"5 km NNW of Cepitá, Colombia",",us7000jjrd,",157.397,Santander,CO
78,2023-03-11 05:11:59.326,4.3,3.7,125.0,6.893,-73.1444,"14 km SW of Piedecuesta, Colombia",",us7000jj2g,",146.285,Santander,CO
80,2023-03-10 09:18:40.733,5.4,6.1,43.0,6.7308,-73.027,"4 km NNW of Aratoca, Colombia",",us7000jirz,usauto7000jirz,pt23069000,",160.432,Santander,CO
84,2023-03-07 01:32:41.615,4.3,2.6,36.0,6.8238,-73.0726,"Santander, Colombia",",us7000jhsj,",155.436,Santander,CO
92,2023-02-15 13:04:09.720,5.2,4.1,37.0,6.7659,-73.0236,"5 km WNW of Cepitá, Colombia",",us6000jp3b,",158.822,Santander,CO
95,2023-02-07 21:31:36.127,5.0,4.9,58.0,7.1614,-76.9892,northern Colombia,",us6000jmce,",23.642,Antioquia,CO
96,2023-02-07 02:56:17.992,4.6,2.2,35.0,6.8089,-73.0222,northern Colombia,",us6000jm59,",159.15,Santander,CO
97,2023-02-07 00:44:14.350,3.8,2.7,153.0,4.3409,-74.2762,"4 km NE of Pasca, Colombia",",us6000jm8v,",8.529,Cundinamarca,CO
107,2023-01-27 04:34:39.050,4.5,4.7,59.0,5.0309,-76.2007,"15 km NNE of San José del Palmar, Colombia",",us6000jjlq,",106.371,Choco,CO
119,2023-01-14 18:18:29.987,4.5,1.0,117.0,6.8355,-73.1176,northern Colombia,",us7000j4es,",151.159,Santander,CO
144,2022-12-12 14:49:13.270,4.5,2.2,146.0,3.9986,-76.7154,"26 km WNW of Darien, Colombia",",us6000j9qp,",101.355,Valle del Cauca,CO
