Year,Disaster Subtype,ISO,Location,Dis Mag Value,Latitude,Longitude,Local Time,date,End date,Total Deaths,Total Affected,Total Damages US$(2021)
1906,Ground movement,COL,Tumako,9.0,1.51 N,78.46 W ,,1906-01-31,1906-01-31,400.0,,
1950,Ground movement,COL,"Santander, Amboledas",,7.8,-72.5,21:35,1950-07-08,1950-07-08,211.0,40000.0,60683.0
1962,Ground movement,COL,"Mistrato, Manizales",7.0,5.173,-76.352,13:53,1962-07-30,1962-07-30,47.0,300.0,
1967,Ground movement,COL,"Neiva (Huila deparment); Rivera, San Antonio",7.0,2.849,-74.798,10:24,1967-02-09,1967-02-09,61.0,40200.0,5264.0
1970,Ground movement,COL,Pereira (Bahia Solano),7.0,6.375,-77.438,22:38,1970-09-25,1970-09-25,,3006.0,3015.0
1901,Tsunami,JPN,Sanriku,8.0,40.5,142.5,03:33,1901-08-10,1901-08-10,18.0,24.0,
1905,Tsunami,JPN,Fukushima,7.0,37.4,142.6,01:21,1907-07-07,1907-07-07,41.0,,
1906,Ground movement,USA,San Francisco (California),8.0,37.67,-122.48,05:12,1906-04-18,1906-04-18,700.0,84564.0,17029512.0
1914,Ground movement,JPN,Akita Senboku,7.0,39.2,139.8,05:00,1914-03-16,1914-03-16,94.0,1920.0,
1915,Ground movement,USA,El Centro (California),6.0,32.47,-115.33,20:56,1915-06-22,1915-06-22,6.0,,28864.0
1923,Ground movement,JPN,"Kanto plaine (Yokohama,Tokyo)",8.0,35.413,139.298,11:58,1923-09-01,1923-09-01,143000.0,203733.0,10282909.0
1925,Ground movement,USA,Santa Barbara (California),6.0,34.25 N,119.41 W,,1925-06-29,1925-06-29,13.0,,133203.0
1927,Ground movement,JPN,"Tango, Honshu",7.0,35.632,135.013,18:27,1927-03-07,1927-03-07,3022.0,79540.0,672395.0
1930,Ground movement,JPN,Idu (Honshu),7.0,35.05,139.129,04:02,1930-11-26,1930-11-26,259.0,26122.0,
1933,Ground movement,USA,Long Beach (California),6.0,33.62,117.97,17:54,1933-03-10,1933-03-10,116.0,,868452.0
1933,Tsunami,JPN,Sanriku,8.0,39.224,144.622,02:1,1933-03-03,1933-03-03,3000.0,,
1940,Ground movement,USA,Imperial Valley (California),7.0,32.733,-115.5,20:36,1940-05-18,1940-05-18,9.0,,687807.0
1943,Ground movement,JPN,Tottori (Honshu Isl.),7.0,35.448,133.993,17:37,1943-09-10,1943-09-10,1400.0,23217.0,
1944,Tsunami,JPN,"Tonankai, Hondo",8.0,33.682,36.204,13:35,1944-12-07,1944-12-07,1223.0,80573.0,
1945,Ground movement,JPN,"Mikawa (Near Nagoya, Honshu Isl.)",7.0,34.612,137.064,03:38,1945-01-13,1945-01-13,2306.0,22559.0,
1946,Ground movement,JPN,"Nankaido, Tonankai (Honshu Isl.)",8.0,33.116,135.895,04:19,1946-12-21,1946-12-21,2000.0,,
1946,Tsunami,USA,"Alaska, Hawi and California",9.0,53.492,-162.832,03:29,1946-04-01,1946-04-01,165.0,,374349.0
1948,Ground movement,JPN,Fukui,7.0,36.5,136,16:13,1948-06-28,1948-06-28,5131.0,326000.0,12153392.0
