time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-27T14:07:28.437Z,0.5791,-79.9936,36.614,5.1,mww,67,142,0.942,0.93,us,us6000knee,2023-06-28T02:44:55.529Z,"near the coast of Ecuador",earthquake,6.11,4.955,0.089,12,reviewed,us,us
2023-06-27T10:55:56.469Z,6.8378,-73.1563,152.065,4.5,mb,79,74,0.942,0.53,us,us6000kndk,2023-06-27T11:40:54.040Z,"northern Colombia",earthquake,7.13,8.673,0.04,182,reviewed,us,us
2023-06-27T10:02:21.666Z,-30.1304,-71.3012,65.363,4.6,mwr,60,121,0.218,0.54,us,us6000knd9,2023-06-27T12:04:49.505Z,"19 km S of Coquimbo, Chile",earthquake,2.17,5.276,,,reviewed,us,guc
2023-06-26T16:04:03.413Z,-20.1091,-66.8647,249.919,4.7,mb,62,51,2.236,0.97,us,us6000kn7t,2023-06-26T16:34:56.977Z,"22 km NNE of Colchani, Bolivia",earthquake,6.41,7.016,0.035,252,reviewed,us,us
2023-06-25T23:20:12.919Z,-24.2098,-66.9085,179.852,3.7,ml,20,92,1.711,0.53,us,us7000kb1n,2023-06-26T23:45:48.040Z,"59 km W of San Antonio de los Cobres, Argentina",earthquake,7,10.426,,,reviewed,us,guc
2023-06-25T21:50:21.844Z,-1.9292,-79.9032,10,4.2,mb,14,176,1.12,0.4,us,us7000kb1e,2023-06-27T00:26:58.040Z,"7 km E of El Triunfo, Ecuador",earthquake,4.36,1.985,0.525,1,reviewed,us,us
2023-06-25T21:40:28.174Z,-21.6087,-68.5089,143.37,4.3,mb,21,70,0.707,0.65,us,us7000kb1c,2023-06-26T21:26:04.040Z,"50 km SSW of Ollagüe, Chile",earthquake,4.24,6.957,0.2,7,reviewed,us,us
2023-06-25T13:26:53.948Z,-18.1445,-71.6425,26.705,4.9,mb,27,158,1.256,0.64,us,us7000kazl,2023-06-25T13:43:20.040Z,"63 km SSW of Pacocha, Peru",earthquake,8.03,6.195,0.11,26,reviewed,us,us
2023-06-25T11:34:57.517Z,-21.5913,-68.4415,132.022,4.8,mb,60,40,1.117,0.66,us,us7000kaz5,2023-06-25T11:58:29.040Z,"45 km SSW of Ollagüe, Chile",earthquake,5.35,5.526,0.042,174,reviewed,us,us
2023-06-25T08:16:05.592Z,-20.8872,-68.9323,103.201,4.3,mb,34,59,0.541,0.66,us,us7000kayj,2023-06-25T08:59:20.040Z,"Chile-Bolivia border region",earthquake,4.21,6.129,0.122,23,reviewed,us,us
2023-06-25T05:21:00.136Z,-19.8766,-69.1384,114.075,4.1,mb,19,75,0.214,0.33,us,us7000kaxz,2023-06-25T05:53:21.040Z,"67 km ENE of Huara, Chile",earthquake,6.76,4.688,0.15,12,reviewed,us,us
2023-06-25T01:35:56.423Z,-15.5193,-74.0911,59.647,4.3,mb,25,158,4.412,0.68,us,us7000kax7,2023-06-25T02:02:21.040Z,"Near the coast of southern Peru",earthquake,9.64,7.909,0.169,10,reviewed,us,us
2023-06-24T08:50:06.198Z,-19.4296,-69.3619,102.977,4.4,mwr,35,97,0.285,0.61,us,us7000kat6,2023-06-24T09:21:33.040Z,"14 km SSE of Camiña, Chile",earthquake,5.24,3.851,,,reviewed,us,guc
