,Intensidad,Magnitud
0,4.3,4.5
1,2.0,4.5
2,2.0,5.0
3,4.3,5.0
4,6.7,6.0
5,4.8,4.8
6,3.7,4.8
7,2.0,4.6
8,3.4,4.6
9,4.1,5.1
10,3.4,4.4
11,4.1,4.4
12,3.0,4.4
13,3.4,4.7
14,4.6,5.7
15,4.6,6.8
16,3.1,4.5
17,2.5,5.0
18,4.1,5.5
19,4.6,4.3
20,3.9,4.8
21,3.1,5.1
22,4.8,5.1
23,1.0,4.2
24,5.9,5.0
25,3.4,4.8
26,2.0,4.6
27,4.3,4.6
28,4.6,5.1
29,4.1,4.7
30,3.8,4.7
31,3.8,6.7
32,8.0,7.2
33,4.7,4.5
34,1.0,4.5
35,2.7,4.5
36,3.1,4.5
37,2.2,4.5
38,1.0,4.5
39,1.0,4.5
40,1.0,4.5
41,2.0,4.5
42,1.0,4.5
43,5.1,5.0
44,2.0,5.0
45,2.5,5.0
46,5.8,5.0
47,2.5,5.0
48,4.8,5.5
49,2.0,4.3
50,3.9,4.3
51,2.5,4.8
52,4.6,4.8
53,3.8,4.8
54,4.3,4.6
55,3.4,5.1
56,2.7,4.4
57,3.8,4.4
58,4.3,4.4
59,1.0,4.4
60,1.0,4.4
61,1.0,4.4
62,2.4,4.9
63,2.5,4.9
64,3.4,4.9
65,4.1,4.9
66,1.0,4.2
67,6.2,4.7
68,2.6,4.7
69,2.7,4.7
70,4.1,4.7
71,1.0,4.7
72,4.2,5.2
73,5.0,5.2
74,2.4,5.7
75,2.7,6.2
76,6.7,7.3
77,3.8,4.5
78,2.9,4.5
79,5.3,5.0
80,3.1,5.0
81,5.7,5.5
82,3.4,4.6
83,3.8,4.6
84,6.6,5.1
85,5.0,5.6
86,5.2,5.6
87,3.1,4.4
88,2.0,4.4
89,3.4,4.9
90,3.8,4.7
91,1.0,4.4
92,4.1,5.4
93,2.2,4.5
94,2.0,4.3
95,1.0,4.6
96,3.4,5.1
97,4.3,4.4
98,3.4,4.7
99,4.4,5.2
100,5.0,5.3
101,2.9,4.6
102,3.9,4.4
103,3.8,3.4
104,4.3,3.2
105,5.2,6.9
106,5.2,4.0
107,1.0,4.0
108,3.8,4.5
109,3.1,5.0
110,1.0,4.3
111,2.0,4.6
112,5.6,4.9
113,1.0,4.9
114,2.0,4.2
115,1.0,4.2
116,3.6,4.7
117,1.0,4.7
118,2.0,5.2
119,3.1,5.7
120,3.1,4.5
121,1.0,4.5
122,4.9,5.5
123,4.8,5.1
124,6.4,4.7
125,3.4,5.2
126,2.0,4.5
127,5.0,5.5
128,4.9,4.6
129,6.5,5.7
130,4.3,4.5
131,2.2,4.6
132,4.1,4.3
133,5.2,4.7
134,1.0,4.5
135,1.0,4.3
136,3.0,4.8
137,1.0,4.1
138,5.6,4.6
139,2.2,4.6
140,1.0,4.4
141,1.0,4.4
142,2.7,4.4
143,2.1,4.7
144,1.0,4.7
145,2.3,4.7
146,4.5,4.5
147,4.3,4.5
148,2.0,4.5
149,4.9,5.0
150,5.3,6.0
151,3.4,4.3
152,3.8,4.3
153,2.7,4.8
154,5.4,4.8
155,5.3,4.8
156,3.4,4.8
157,6.1,4.8
158,2.0,4.6
159,1.0,4.6
160,1.0,4.6
161,5.6,5.1
162,3.4,5.1
163,4.1,4.4
164,2.0,4.4
165,4.3,4.9
166,3.8,4.9
167,2.0,4.7
168,3.1,4.7
169,2.7,4.7
170,4.8,4.7
171,4.3,4.7
172,4.3,4.7
173,5.4,4.7
174,2.9,4.7
175,3.7,5.7
176,3.1,4.5
177,3.9,4.5
178,1.0,4.5
179,3.1,4.3
180,2.0,4.4
181,3.1,4.4
182,2.0,3.7
183,4.0,5.0
184,3.1,4.1
185,1.0,4.4
186,3.8,4.9
187,3.6,4.0
188,1.0,4.0
189,1.0,4.0
190,3.4,4.0
191,2.0,4.5
192,1.0,4.5
193,2.2,4.5
194,2.0,4.5
195,2.0,4.5
196,2.0,4.5
197,2.7,4.5
198,2.0,4.5
199,2.2,4.5
200,1.0,4.5
201,1.0,4.5
202,5.2,4.5
203,2.2,4.5
204,1.0,4.5
205,1.0,4.5
206,1.0,4.5
207,3.4,5.0
208,2.2,5.0
209,3.9,5.0
210,3.4,5.0
211,3.8,5.0
212,3.7,4.3
213,2.6,4.3
214,2.7,4.3
215,1.0,4.3
216,2.0,4.3
